client,,count,mean,median,var,std,min,max,download_throughput_bps,upload_throughput_bps,rtt_download_sec,rtt_upload_sec,packet_loss_percent
client09,upload_throughput_bps,498,452650070.8388531,190206886.2978582,1.510977844227061e+17,388712984.63352895,821589.4270567962,921449985.8300368,,,,,
client09,rtt_download_sec,498,0.04497363453815261,0.01,0.0030116199384617424,0.05487822827371291,0.002267,0.224516,,,,,
client09,rtt_upload_sec,498,0.03393687349397589,0.0043445,0.002560954026291811,0.05060586948459448,0.002,0.223917,,,,,
client09,packet_loss_percent,498,0.4832634131470987,0.07306617583011565,1.917652640467285,1.3847933565941473,0.0,16.367497542583003,,,,,
client10,download_throughput_bps,664,231791294.74137792,221136216.3230062,2.756847826046114e+16,166037580.8678901,3676623.517824247,425036392.121768,,,,,
client10,upload_throughput_bps,664,37347812.26601742,40764883.49358833,85902362107068.16,9268352.718097653,2468495.1578736366,46522312.503341526,,,,,
client10,rtt_download_sec,664,0.08720242620481927,0.015269,0.010696312426905556,0.10342297823455654,0.005,0.398051,,,,,
client10,rtt_upload_sec,664,0.06773092620481927,0.016558,0.008787972794321846,0.09374418805623017,0.005838,0.342112,,,,,
client10,packet_loss_percent,664,1.4803458765300566,0.0074700802980302,8.282361825289918,2.8779092802397224,0.0,19.29225849831901,,,,,
client11,download_throughput_bps,489,504634766.3071188,690643959.055207,8.322926936266866e+16,288494834.20447695,26922745.30238925,802686031.9767947,,,,,
client11,upload_throughput_bps,489,267394106.14809707,382950945.28375113,2.7269385952482252e+16,165134448.1096608,5376139.10452953,424216196.583876,,,,,
client11,rtt_download_sec,489,0.012882789366053162,0.0129629999999999,3.8975241941198154e-05,0.0062430154525836435,0.007907,0.132751,,,,,
client11,rtt_upload_sec,489,0.015222881390593036,0.0154939999999999,8.347817397360793e-05,0.009136639096167033,0.00859,0.194,,,,,
client11,packet_loss_percent,489,1.1971610691103278,0.540976611177913,3.785838072423502,1.9457230204794058,0.0,10.263341419343291,,,,,
client12,download_throughput_bps,640,464765894.8059782,636004142.2890322,8.115419639753282e+16,284875756.0718932,16423565.259566853,811904013.5115337,,,,,
client12,upload_throughput_bps,640,92171175.64682905,96038521.0606367,925556715130359.8,30422963.615176607,2661496.776276404,170883231.0254604,,,,,
client12,rtt_download_sec,640,0.0864852828125,0.0145835,0.010781517797445715,0.10383408783942638,0.004088,0.347753,,,,,
client12,rtt_upload_sec,640,0.07346213906249999,0.017328999999999997,0.009466899669697377,0.09729799417098678,0.006242,0.3602269999999999,,,,,
client12,packet_loss_percent,640,0.0638046227926588,0.0061489473871697,0.18526763273834584,0.4304272676519761,0.0,8.588838366907215,,,,,
client13,download_throughput_bps,644,593933162.9832424,596143878.0761683,485087734388373.1,22024707.36215065,132986311.55249654,601257668.513202,,,,,
client13,upload_throughput_bps,644,294764544.29173195,298961298.14218813,275055997989540.34,16584812.268745774,56825611.47902163,302862890.7129683,,,,,
client13,rtt_download_sec,644,0.011747787267080744,0.0119265,3.199171033259035e-05,0.005656121492028822,0.007,0.117033,,,,,
client13,rtt_upload_sec,644,0.012986380434782592,0.014283500000000001,2.4948165831716156e-05,0.004994813893601658,0.007682,0.089417,,,,,
client13,packet_loss_percent,644,5.336099414131433,5.547861859588588,1.4701297458118234,1.2124890703886049,0.0,8.571261956608907,,,,,
